,Manufacturer##other##,Window Type##other##,Nominal Width Center Unit##length##inches,Nominal Height##length##inches,Design Pressure##other##,Description##other##,Model##other##
CUCA2872,Marvin Windows and Doors,Clad Ultimate Casement,28,72,DP50,2872 CSMT,CUCA2872
CUCA2878,Marvin Windows and Doors,Clad Ultimate Casement,28,78,DP50,2878 CSMT,CUCA2878
CUCA2884,Marvin Windows and Doors,Clad Ultimate Casement,28,84,DP50,2884 CSMT,CUCA2884
CUCA2892,Marvin Windows and Doors,Clad Ultimate Casement,28,92,DP50,2892 CSMT,CUCA2892
CUCA2896,Marvin Windows and Doors,Clad Ultimate Casement,28,96,DP50,2896 CSMT,CUCA2896

CUCA3014,Marvin Windows and Doors,Clad Ultimate Casement,30,14,DP50,3014 CSMT,CUCA3014
CUCA3016,Marvin Windows and Doors,Clad Ultimate Casement,30,16,DP50,3016 CSMT,CUCA3016
CUCA3018,Marvin Windows and Doors,Clad Ultimate Casement,30,18,DP50,3018 CSMT,CUCA3018
CUCA3020,Marvin Windows and Doors,Clad Ultimate Casement,30,20,DP50,3020 CSMT,CUCA3020
CUCA3024,Marvin Windows and Doors,Clad Ultimate Casement,30,24,DP50,3024 CSMT,CUCA3024
CUCA3028,Marvin Windows and Doors,Clad Ultimate Casement,30,28,DP50,3028 CSMT,CUCA3028
CUCA3032,Marvin Windows and Doors,Clad Ultimate Casement,30,32,DP50,3032 CSMT,CUCA3032
CUCA3036,Marvin Windows and Doors,Clad Ultimate Casement,30,36,DP50,3036 CSMT,CUCA3036
CUCA3040,Marvin Windows and Doors,Clad Ultimate Casement,30,40,DP50,3040 CSMT,CUCA3040
CUCA3044,Marvin Windows and Doors,Clad Ultimate Casement,30,44,DP50,3044 CSMT,CUCA3044
CUCA3048,Marvin Windows and Doors,Clad Ultimate Casement,30,48,DP50,3048 CSMT,CUCA3048
CUCA3054,Marvin Windows and Doors,Clad Ultimate Casement,30,54,DP50,3054 CSMT,CUCA3054
CUCA3056,Marvin Windows and Doors,Clad Ultimate Casement,30,56,DP50,3056 CSMT,CUCA3056
CUCA3060,Marvin Windows and Doors,Clad Ultimate Casement,30,60,DP50,3060 CSMT,CUCA3060
CUCA3064,Marvin Windows and Doors,Clad Ultimate Casement,30,64,DP50,3064 CSMT,CUCA3064
CUCA3072,Marvin Windows and Doors,Clad Ultimate Casement,30,72,DP50,3072 CSMT,CUCA3072
CUCA3078,Marvin Windows and Doors,Clad Ultimate Casement,30,78,DP50,3078 CSMT,CUCA3078
CUCA3084,Marvin Windows and Doors,Clad Ultimate Casement,30,84,DP50,3084 CSMT,CUCA3084
CUCA3092,Marvin Windows and Doors,Clad Ultimate Casement,30,92,DP50,3092 CSMT,CUCA3092
CUCA3096,Marvin Windows and Doors,Clad Ultimate Casement,30,96,DP50,3096 CSMT,CUCA3096

CUCA3214,Marvin Windows and Doors,Clad Ultimate Casement,32,14,DP50,3214 CSMT,CUCA3214
CUCA3216,Marvin Windows and Doors,Clad Ultimate Casement,32,16,DP50,3216 CSMT,CUCA3216
CUCA3218,Marvin Windows and Doors,Clad Ultimate Casement,32,18,DP50,3218 CSMT,CUCA3218
CUCA3220,Marvin Windows and Doors,Clad Ultimate Casement,32,20,DP50,3220 CSMT,CUCA3220
CUCA3224,Marvin Windows and Doors,Clad Ultimate Casement,32,24,DP50,3224 CSMT,CUCA3224
CUCA3228,Marvin Windows and Doors,Clad Ultimate Casement,32,28,DP50,3228 CSMT,CUCA3228
CUCA3232,Marvin Windows and Doors,Clad Ultimate Casement,32,32,DP50,3232 CSMT,CUCA3232
CUCA3236,Marvin Windows and Doors,Clad Ultimate Casement,32,36,DP50,3236 CSMT,CUCA3236
CUCA3240,Marvin Windows and Doors,Clad Ultimate Casement,32,40,DP50,3240 CSMT,CUCA3240
CUCA3244,Marvin Windows and Doors,Clad Ultimate Casement,32,44,DP50,3244 CSMT,CUCA3244
CUCA3248,Marvin Windows and Doors,Clad Ultimate Casement,32,48,DP50,3248 CSMT,CUCA3248
CUCA3254,Marvin Windows and Doors,Clad Ultimate Casement,32,54,DP50,3254 CSMT,CUCA3254
CUCA3256,Marvin Windows and Doors,Clad Ultimate Casement,32,56,DP50,3256 CSMT,CUCA3256
CUCA3260,Marvin Windows and Doors,Clad Ultimate Casement,32,60,DP50,3260 CSMT,CUCA3260
CUCA3264,Marvin Windows and Doors,Clad Ultimate Casement,32,64,DP50,3264 CSMT,CUCA3264
CUCA3272,Marvin Windows and Doors,Clad Ultimate Casement,32,72,DP50,3272 CSMT,CUCA3272
CUCA3278,Marvin Windows and Doors,Clad Ultimate Casement,32,78,DP50,3278 CSMT,CUCA3278
CUCA3284,Marvin Windows and Doors,Clad Ultimate Casement,32,84,DP50,3284 CSMT,CUCA3284
CUCA3292,Marvin Windows and Doors,Clad Ultimate Casement,32,92,DP50,3292 CSMT,CUCA3292
CUCA3296,Marvin Windows and Doors,Clad Ultimate Casement,32,96,DP50,3296 CSMT,CUCA3296

CUCA3614,Marvin Windows and Doors,Clad Ultimate Casement,36,14,DP50,3614 CSMT,CUCA3614
CUCA3616,Marvin Windows and Doors,Clad Ultimate Casement,36,16,DP50,3616 CSMT,CUCA3616
CUCA3618,Marvin Windows and Doors,Clad Ultimate Casement,36,18,DP50,3618 CSMT,CUCA3618
CUCA3620,Marvin Windows and Doors,Clad Ultimate Casement,36,20,DP50,3620 CSMT,CUCA3620
CUCA3624,Marvin Windows and Doors,Clad Ultimate Casement,36,24,DP50,3624 CSMT,CUCA3624
CUCA3628,Marvin Windows and Doors,Clad Ultimate Casement,36,28,DP50,3628 CSMT,CUCA3628
CUCA3632,Marvin Windows and Doors,Clad Ultimate Casement,36,32,DP50,3632 CSMT,CUCA3632
CUCA3636,Marvin Windows and Doors,Clad Ultimate Casement,36,36,DP50,3636 CSMT,CUCA3636
CUCA3640,Marvin Windows and Doors,Clad Ultimate Casement,36,40,DP50,3640 CSMT,CUCA3640
CUCA3644,Marvin Windows and Doors,Clad Ultimate Casement,36,44,DP50,3644 CSMT,CUCA3644
CUCA3648,Marvin Windows and Doors,Clad Ultimate Casement,36,48,DP50,3648 CSMT,CUCA3648
CUCA3654,Marvin Windows and Doors,Clad Ultimate Casement,36,54,DP50,3654 CSMT,CUCA3654
CUCA3656,Marvin Windows and Doors,Clad Ultimate Casement,36,56,DP50,3656 CSMT,CUCA3656
CUCA3660,Marvin Windows and Doors,Clad Ultimate Casement,36,60,DP50,3660 CSMT,CUCA3660
CUCA3664,Marvin Windows and Doors,Clad Ultimate Casement,36,64,DP50,3664 CSMT,CUCA3664
CUCA3672,Marvin Windows and Doors,Clad Ultimate Casement,36,72,DP50,3672 CSMT,CUCA3672
CUCA3678,Marvin Windows and Doors,Clad Ultimate Casement,36,78,DP50,3678 CSMT,CUCA3678
CUCA3684,Marvin Windows and Doors,Clad Ultimate Casement,36,84,DP50,3684 CSMT,CUCA3684
CUCA3692,Marvin Windows and Doors,Clad Ultimate Casement,36,92,DP50,3692 CSMT,CUCA3692
CUCA3696,Marvin Windows and Doors,Clad Ultimate Casement,36,96,DP50,3696 CSMT,CUCA3696

CUCA4014,Marvin Windows and Doors,Clad Ultimate Casement,40,14,DP50,4014 CSMT,CUCA4014
CUCA4016,Marvin Windows and Doors,Clad Ultimate Casement,40,16,DP50,4016 CSMT,CUCA4016
CUCA4018,Marvin Windows and Doors,Clad Ultimate Casement,40,18,DP50,4018 CSMT,CUCA4018
CUCA4020,Marvin Windows and Doors,Clad Ultimate Casement,40,20,DP50,4020 CSMT,CUCA4020
CUCA4024,Marvin Windows and Doors,Clad Ultimate Casement,40,24,DP50,4024 CSMT,CUCA4024
CUCA4028,Marvin Windows and Doors,Clad Ultimate Casement,40,28,DP50,4028 CSMT,CUCA4028
CUCA4032,Marvin Windows and Doors,Clad Ultimate Casement,40,32,DP50,4032 CSMT,CUCA4032
CUCA4036,Marvin Windows and Doors,Clad Ultimate Casement,40,36,DP50,4036 CSMT,CUCA4036
CUCA4040,Marvin Windows and Doors,Clad Ultimate Casement,40,40,DP50,4040 CSMT,CUCA4040
CUCA4044,Marvin Windows and Doors,Clad Ultimate Casement,40,44,DP50,4044 CSMT,CUCA4044
CUCA4048,Marvin Windows and Doors,Clad Ultimate Casement,40,48,DP50,4048 CSMT,CUCA4048
CUCA4054,Marvin Windows and Doors,Clad Ultimate Casement,40,54,DP50,4054 CSMT,CUCA4054
CUCA4056,Marvin Windows and Doors,Clad Ultimate Casement,40,56,DP50,4056 CSMT,CUCA4056
CUCA4060,Marvin Windows and Doors,Clad Ultimate Casement,40,60,DP50,4060 CSMT,CUCA4060
CUCA4064,Marvin Windows and Doors,Clad Ultimate Casement,40,64,DP50,4064 CSMT,CUCA4064
CUCA4072,Marvin Windows and Doors,Clad Ultimate Casement,40,72,DP50,4072 CSMT,CUCA4072
CUCA4078,Marvin Windows and Doors,Clad Ultimate Casement,40,78,DP50,4078 CSMT,CUCA4078
CUCA4084,Marvin Windows and Doors,Clad Ultimate Casement,40,84,DP50,4084 CSMT,CUCA4084
CUCA4092,Marvin Windows and Doors,Clad Ultimate Casement,40,92,DP50,4092 CSMT,CUCA4092
