,Manufacturer##other##,Window Type##other##,Nominal Width##length##inches,Nominal Height##length##inches,Design Pressure##other##,Description##other##,Model##other##
CCNTPRYCAP4872,Marvin Windows and Doors,Clad Contemporary Casement Picture Unit,48,72,DP50,4872 FIXED,CCNTPRYCAP4872
CCNTPRYCAP4878,Marvin Windows and Doors,Clad Contemporary Casement Picture Unit,48,78,DP50,4878 FIXED,CCNTPRYCAP4878
CCNTPRYCAP4884,Marvin Windows and Doors,Clad Contemporary Casement Picture Unit,48,84,DP50,4884 FIXED,CCNTPRYCAP4884
CCNTPRYCAP4892,Marvin Windows and Doors,Clad Contemporary Casement Picture Unit,48,92,DP50,4892 FIXED,CCNTPRYCAP4892
CCNTPRYCAP4896,Marvin Windows and Doors,Clad Contemporary Casement Picture Unit,48,96,DP50,4896 FIXED,CCNTPRYCAP4896
CCNTPRYCAP5612,Marvin Windows and Doors,Clad Contemporary Casement Picture Unit,56,12,DP50,5612 FIXED,CCNTPRYCAP5612
CCNTPRYCAP5614,Marvin Windows and Doors,Clad Contemporary Casement Picture Unit,56,14,DP50,5614 FIXED,CCNTPRYCAP5614
CCNTPRYCAP5616,Marvin Windows and Doors,Clad Contemporary Casement Picture Unit,56,16,DP50,5616 FIXED,CCNTPRYCAP5616
CCNTPRYCAP5618,Marvin Windows and Doors,Clad Contemporary Casement Picture Unit,56,18,DP50,5618 FIXED,CCNTPRYCAP5618
CCNTPRYCAP5620,Marvin Windows and Doors,Clad Contemporary Casement Picture Unit,56,20,DP50,5620 FIXED,CCNTPRYCAP5620
CCNTPRYCAP5624,Marvin Windows and Doors,Clad Contemporary Casement Picture Unit,56,24,DP50,5624 FIXED,CCNTPRYCAP5624
CCNTPRYCAP5628,Marvin Windows and Doors,Clad Contemporary Casement Picture Unit,56,28,DP50,5628 FIXED,CCNTPRYCAP5628
CCNTPRYCAP5632,Marvin Windows and Doors,Clad Contemporary Casement Picture Unit,56,32,DP50,5632 FIXED,CCNTPRYCAP5632
CCNTPRYCAP5636,Marvin Windows and Doors,Clad Contemporary Casement Picture Unit,56,36,DP50,5636 FIXED,CCNTPRYCAP5636
