,Manufacturer##other##,Window Type##other##,Nominal Width##length##inches,Nominal Height##length##inches,Egress Window##other##,Design Pressure##other##,Description##other##,Model##other##
CUCA2018,Marvin Windows and Doors,Clad Ultimate Casement Tripane,20,18,No,DP50,2018 CSMT,CUCA2018
CUCA2020,Marvin Windows and Doors,Clad Ultimate Casement Tripane,20,20,No,DP50,2020 CSMT,CUCA2020
CUCA2024,Marvin Windows and Doors,Clad Ultimate Casement Tripane,20,24,No,DP50,2024 CSMT,CUCA2024
CUCA2028,Marvin Windows and Doors,Clad Ultimate Casement Tripane,20,28,No,DP50,2028 CSMT,CUCA2028
CUCA2032,Marvin Windows and Doors,Clad Ultimate Casement Tripane,20,32,No,DP50,2032 CSMT,CUCA2032
CUCA2036,Marvin Windows and Doors,Clad Ultimate Casement Tripane,20,36,No,DP50,2036 CSMT,CUCA2036
CUCA2040,Marvin Windows and Doors,Clad Ultimate Casement Tripane,20,40,No,DP50,2040 CSMT,CUCA2040
CUCA2044,Marvin Windows and Doors,Clad Ultimate Casement Tripane,20,44,No,DP50,2044 CSMT,CUCA2044
CUCA2048,Marvin Windows and Doors,Clad Ultimate Casement Tripane,20,48,No,DP50,2048 CSMT,CUCA2048
CUCA2054,Marvin Windows and Doors,Clad Ultimate Casement Tripane,20,54,No,DP50,2054 CSMT,CUCA2054
CUCA2056,Marvin Windows and Doors,Clad Ultimate Casement Tripane,20,56,No,DP50,2056 CSMT,CUCA2056
CUCA2060,Marvin Windows and Doors,Clad Ultimate Casement Tripane,20,60,No,DP50,2060 CSMT,CUCA2060
CUCA2064,Marvin Windows and Doors,Clad Ultimate Casement Tripane,20,64,No,DP50,2064 CSMT,CUCA2064
CUCA2072,Marvin Windows and Doors,Clad Ultimate Casement Tripane,20,72,No,DP50,2072 CSMT,CUCA2072
CUCA2078,Marvin Windows and Doors,Clad Ultimate Casement Tripane,20,78,No,DP50,2078 CSMT,CUCA2078
CUCA2084,Marvin Windows and Doors,Clad Ultimate Casement Tripane,20,84,No,DP50,2084 CSMT,CUCA2084
CUCA2092,Marvin Windows and Doors,Clad Ultimate Casement Tripane,20,92,No,DP50,2092 CSMT,CUCA2092
CUCA2096,Marvin Windows and Doors,Clad Ultimate Casement Tripane,20,96,No,DP50,2096 CSMT,CUCA2096
CUCA2414,Marvin Windows and Doors,Clad Ultimate Casement Tripane,24,14,No,DP50,2414 CSMT,CUCA2414
CUCA2416,Marvin Windows and Doors,Clad Ultimate Casement Tripane,24,16,No,DP50,2416 CSMT,CUCA2416
CUCA2418,Marvin Windows and Doors,Clad Ultimate Casement Tripane,24,18,No,DP50,2418 CSMT,CUCA2418
CUCA2420,Marvin Windows and Doors,Clad Ultimate Casement Tripane,24,20,No,DP50,2420 CSMT,CUCA2420
CUCA2424,Marvin Windows and Doors,Clad Ultimate Casement Tripane,24,24,No,DP50,2424 CSMT,CUCA2424
CUCA2428,Marvin Windows and Doors,Clad Ultimate Casement Tripane,24,28,No,DP50,2428 CSMT,CUCA2428
CUCA2432,Marvin Windows and Doors,Clad Ultimate Casement Tripane,24,32,No,DP50,2432 CSMT,CUCA2432
CUCA2436,Marvin Windows and Doors,Clad Ultimate Casement Tripane,24,36,No,DP50,2436 CSMT,CUCA2436
CUCA2440,Marvin Windows and Doors,Clad Ultimate Casement Tripane,24,40,No,DP50,2440 CSMT,CUCA2440
CUCA2444,Marvin Windows and Doors,Clad Ultimate Casement Tripane,24,44,No,DP50,2444 CSMT,CUCA2444
CUCA2448,Marvin Windows and Doors,Clad Ultimate Casement Tripane,24,48,No,DP50,2448 CSMT,CUCA2448
CUCA2454,Marvin Windows and Doors,Clad Ultimate Casement Tripane,24,54,No,DP50,2454 CSMT,CUCA2454
CUCA2456,Marvin Windows and Doors,Clad Ultimate Casement Tripane,24,56,No,DP50,2456 CSMT,CUCA2456
CUCA2460,Marvin Windows and Doors,Clad Ultimate Casement Tripane,24,60,No,DP50,2460 CSMT,CUCA2460
CUCA2464,Marvin Windows and Doors,Clad Ultimate Casement Tripane,24,64,No,DP50,2464 CSMT,CUCA2464
CUCA2472,Marvin Windows and Doors,Clad Ultimate Casement Tripane,24,72,No,DP50,2472 CSMT,CUCA2472
CUCA2478,Marvin Windows and Doors,Clad Ultimate Casement Tripane,24,78,No,DP50,2478 CSMT,CUCA2478
CUCA2484,Marvin Windows and Doors,Clad Ultimate Casement Tripane,24,84,No,DP50,2484 CSMT,CUCA2484
CUCA2492,Marvin Windows and Doors,Clad Ultimate Casement Tripane,24,92,No,DP50,2492 CSMT,CUCA2492
CUCA2496,Marvin Windows and Doors,Clad Ultimate Casement Tripane,24,96,No,DP50,2496 CSMT,CUCA2496
CUCA2614,Marvin Windows and Doors,Clad Ultimate Casement Tripane,26,14,No,DP50,2614 CSMT,CUCA2614
CUCA2616,Marvin Windows and Doors,Clad Ultimate Casement Tripane,26,16,No,DP50,2616 CSMT,CUCA2616
CUCA2618,Marvin Windows and Doors,Clad Ultimate Casement Tripane,26,18,No,DP50,2618 CSMT,CUCA2618
CUCA2620,Marvin Windows and Doors,Clad Ultimate Casement Tripane,26,20,No,DP50,2620 CSMT,CUCA2620
CUCA2624,Marvin Windows and Doors,Clad Ultimate Casement Tripane,26,24,No,DP50,2624 CSMT,CUCA2624
CUCA2628,Marvin Windows and Doors,Clad Ultimate Casement Tripane,26,28,No,DP50,2628 CSMT,CUCA2628
CUCA2632,Marvin Windows and Doors,Clad Ultimate Casement Tripane,26,32,No,DP50,2632 CSMT,CUCA2632
CUCA2636,Marvin Windows and Doors,Clad Ultimate Casement Tripane,26,36,No,DP50,2636 CSMT,CUCA2636
CUCA2640,Marvin Windows and Doors,Clad Ultimate Casement Tripane,26,40,No,DP50,2640 CSMT,CUCA2640
CUCA2644,Marvin Windows and Doors,Clad Ultimate Casement Tripane,26,44,No,DP50,2644 CSMT,CUCA2644
CUCA2648,Marvin Windows and Doors,Clad Ultimate Casement Tripane,26,48,No,DP50,2648 CSMT,CUCA2648
CUCA2654,Marvin Windows and Doors,Clad Ultimate Casement Tripane,26,54,No,DP50,2654 CSMT,CUCA2654
CUCA2656,Marvin Windows and Doors,Clad Ultimate Casement Tripane,26,56,No,DP50,2656 CSMT,CUCA2656
CUCA2660,Marvin Windows and Doors,Clad Ultimate Casement Tripane,26,60,No,DP50,2660 CSMT,CUCA2660
CUCA2664,Marvin Windows and Doors,Clad Ultimate Casement Tripane,26,64,No,DP50,2664 CSMT,CUCA2664
CUCA2672,Marvin Windows and Doors,Clad Ultimate Casement Tripane,26,72,No,DP50,2672 CSMT,CUCA2672
CUCA2678,Marvin Windows and Doors,Clad Ultimate Casement Tripane,26,78,No,DP50,2678 CSMT,CUCA2678
CUCA2684,Marvin Windows and Doors,Clad Ultimate Casement Tripane,26,84,No,DP50,2684 CSMT,CUCA2684
CUCA2692,Marvin Windows and Doors,Clad Ultimate Casement Tripane,26,92,No,DP50,2692 CSMT,CUCA2692
CUCA2696,Marvin Windows and Doors,Clad Ultimate Casement Tripane,26,96,No,DP50,2696 CSMT,CUCA2696
CUCA2814,Marvin Windows and Doors,Clad Ultimate Casement Tripane,28,14,No,DP50,2814 CSMT,CUCA2814
CUCA2816,Marvin Windows and Doors,Clad Ultimate Casement Tripane,28,16,No,DP50,2816 CSMT,CUCA2816
CUCA2818,Marvin Windows and Doors,Clad Ultimate Casement Tripane,28,18,No,DP50,2818 CSMT,CUCA2818
CUCA2820,Marvin Windows and Doors,Clad Ultimate Casement Tripane,28,20,No,DP50,2820 CSMT,CUCA2820
CUCA2824,Marvin Windows and Doors,Clad Ultimate Casement Tripane,28,24,No,DP50,2824 CSMT,CUCA2824
CUCA2828,Marvin Windows and Doors,Clad Ultimate Casement Tripane,28,28,No,DP50,2828 CSMT,CUCA2828
CUCA2832,Marvin Windows and Doors,Clad Ultimate Casement Tripane,28,32,No,DP50,2832 CSMT,CUCA2832
CUCA2836,Marvin Windows and Doors,Clad Ultimate Casement Tripane,28,36,No,DP50,2836 CSMT,CUCA2836
CUCA2840,Marvin Windows and Doors,Clad Ultimate Casement Tripane,28,40,No,DP50,2840 CSMT,CUCA2840
CUCA2844,Marvin Windows and Doors,Clad Ultimate Casement Tripane,28,44,No,DP50,2844 CSMT,CUCA2844
CUCA2848,Marvin Windows and Doors,Clad Ultimate Casement Tripane,28,48,Yes,DP50,2848 CSMT,CUCA2848
CUCA2854,Marvin Windows and Doors,Clad Ultimate Casement Tripane,28,54,Yes,DP50,2854 CSMT,CUCA2854
CUCA2856,Marvin Windows and Doors,Clad Ultimate Casement Tripane,28,56,Yes,DP50,2856 CSMT,CUCA2856
CUCA2860,Marvin Windows and Doors,Clad Ultimate Casement Tripane,28,60,Yes,DP50,2860 CSMT,CUCA2860
CUCA2864,Marvin Windows and Doors,Clad Ultimate Casement Tripane,28,64,Yes,DP50,2864 CSMT,CUCA2864
CUCA2872,Marvin Windows and Doors,Clad Ultimate Casement Tripane,28,72,Yes,DP50,2872 CSMT,CUCA2872
CUCA2878,Marvin Windows and Doors,Clad Ultimate Casement Tripane,28,78,Yes,DP50,2878 CSMT,CUCA2878
CUCA2884,Marvin Windows and Doors,Clad Ultimate Casement Tripane,28,84,Yes,DP50,2884 CSMT,CUCA2884
CUCA2892,Marvin Windows and Doors,Clad Ultimate Casement Tripane,28,92,Yes,DP50,2892 CSMT,CUCA2892
CUCA2896,Marvin Windows and Doors,Clad Ultimate Casement Tripane,28,96,Yes,DP50,2896 CSMT,CUCA2896
CUCA3014,Marvin Windows and Doors,Clad Ultimate Casement Tripane,30,14,No,DP50,3014 CSMT,CUCA3014
CUCA3016,Marvin Windows and Doors,Clad Ultimate Casement Tripane,30,16,No,DP50,3016 CSMT,CUCA3016
CUCA3018,Marvin Windows and Doors,Clad Ultimate Casement Tripane,30,18,No,DP50,3018 CSMT,CUCA3018
CUCA3020,Marvin Windows and Doors,Clad Ultimate Casement Tripane,30,20,No,DP50,3020 CSMT,CUCA3020
CUCA3024,Marvin Windows and Doors,Clad Ultimate Casement Tripane,30,24,No,DP50,3024 CSMT,CUCA3024
CUCA3028,Marvin Windows and Doors,Clad Ultimate Casement Tripane,30,28,No,DP50,3028 CSMT,CUCA3028
CUCA3032,Marvin Windows and Doors,Clad Ultimate Casement Tripane,30,32,No,DP50,3032 CSMT,CUCA3032
CUCA3036,Marvin Windows and Doors,Clad Ultimate Casement Tripane,30,36,No,DP50,3036 CSMT,CUCA3036
CUCA3040,Marvin Windows and Doors,Clad Ultimate Casement Tripane,30,40,No,DP50,3040 CSMT,CUCA3040
CUCA3044,Marvin Windows and Doors,Clad Ultimate Casement Tripane,30,44,No,DP50,3044 CSMT,CUCA3044
CUCA3048,Marvin Windows and Doors,Clad Ultimate Casement Tripane,30,48,Yes,DP50,3048 CSMT,CUCA3048
CUCA3054,Marvin Windows and Doors,Clad Ultimate Casement Tripane,30,54,Yes,DP50,3054 CSMT,CUCA3054
CUCA3056,Marvin Windows and Doors,Clad Ultimate Casement Tripane,30,56,Yes,DP50,3056 CSMT,CUCA3056
CUCA3060,Marvin Windows and Doors,Clad Ultimate Casement Tripane,30,60,Yes,DP50,3060 CSMT,CUCA3060
CUCA3064,Marvin Windows and Doors,Clad Ultimate Casement Tripane,30,64,Yes,DP50,3064 CSMT,CUCA3064
CUCA3072,Marvin Windows and Doors,Clad Ultimate Casement Tripane,30,72,Yes,DP50,3072 CSMT,CUCA3072
CUCA3078,Marvin Windows and Doors,Clad Ultimate Casement Tripane,30,78,Yes,DP50,3078 CSMT,CUCA3078
CUCA3084,Marvin Windows and Doors,Clad Ultimate Casement Tripane,30,84,Yes,DP50,3084 CSMT,CUCA3084
CUCA3092,Marvin Windows and Doors,Clad Ultimate Casement Tripane,30,92,Yes,DP50,3092 CSMT,CUCA3092
CUCA3096,Marvin Windows and Doors,Clad Ultimate Casement Tripane,30,96,Yes,DP50,3096 CSMT,CUCA3096
CUCA3214,Marvin Windows and Doors,Clad Ultimate Casement Tripane,32,14,No,DP50,3214 CSMT,CUCA3214
CUCA3216,Marvin Windows and Doors,Clad Ultimate Casement Tripane,32,16,No,DP50,3216 CSMT,CUCA3216
CUCA3218,Marvin Windows and Doors,Clad Ultimate Casement Tripane,32,18,No,DP50,3218 CSMT,CUCA3218
CUCA3220,Marvin Windows and Doors,Clad Ultimate Casement Tripane,32,20,No,DP50,3220 CSMT,CUCA3220
CUCA3224,Marvin Windows and Doors,Clad Ultimate Casement Tripane,32,24,No,DP50,3224 CSMT,CUCA3224
CUCA3228,Marvin Windows and Doors,Clad Ultimate Casement Tripane,32,28,No,DP50,3228 CSMT,CUCA3228
CUCA3232,Marvin Windows and Doors,Clad Ultimate Casement Tripane,32,32,No,DP50,3232 CSMT,CUCA3232
CUCA3236,Marvin Windows and Doors,Clad Ultimate Casement Tripane,32,36,No,DP50,3236 CSMT,CUCA3236
CUCA3240,Marvin Windows and Doors,Clad Ultimate Casement Tripane,32,40,Yes,DP50,3240 CSMT,CUCA3240
CUCA3244,Marvin Windows and Doors,Clad Ultimate Casement Tripane,32,44,Yes,DP50,3244 CSMT,CUCA3244
CUCA3248,Marvin Windows and Doors,Clad Ultimate Casement Tripane,32,48,Yes,DP50,3248 CSMT,CUCA3248
CUCA3254,Marvin Windows and Doors,Clad Ultimate Casement Tripane,32,54,Yes,DP50,3254 CSMT,CUCA3254
CUCA3256,Marvin Windows and Doors,Clad Ultimate Casement Tripane,32,56,Yes,DP50,3256 CSMT,CUCA3256
CUCA3260,Marvin Windows and Doors,Clad Ultimate Casement Tripane,32,60,Yes,DP50,3260 CSMT,CUCA3260
CUCA3264,Marvin Windows and Doors,Clad Ultimate Casement Tripane,32,64,Yes,DP50,3264 CSMT,CUCA3264
CUCA3272,Marvin Windows and Doors,Clad Ultimate Casement Tripane,32,72,Yes,DP50,3272 CSMT,CUCA3272
CUCA3278,Marvin Windows and Doors,Clad Ultimate Casement Tripane,32,78,Yes,DP50,3278 CSMT,CUCA3278
CUCA3284,Marvin Windows and Doors,Clad Ultimate Casement Tripane,32,84,Yes,DP50,3284 CSMT,CUCA3284
CUCA3292,Marvin Windows and Doors,Clad Ultimate Casement Tripane,32,92,Yes,DP50,3292 CSMT,CUCA3292
CUCA3296,Marvin Windows and Doors,Clad Ultimate Casement Tripane,32,96,Yes,DP50,3296 CSMT,CUCA3296
CUCA3614,Marvin Windows and Doors,Clad Ultimate Casement Tripane,36,14,No,DP50,3614 CSMT,CUCA3614
CUCA3616,Marvin Windows and Doors,Clad Ultimate Casement Tripane,36,16,No,DP50,3616 CSMT,CUCA3616
CUCA3618,Marvin Windows and Doors,Clad Ultimate Casement Tripane,36,18,No,DP50,3618 CSMT,CUCA3618
CUCA3620,Marvin Windows and Doors,Clad Ultimate Casement Tripane,36,20,No,DP50,3620 CSMT,CUCA3620
CUCA3624,Marvin Windows and Doors,Clad Ultimate Casement Tripane,36,24,No,DP50,3624 CSMT,CUCA3624
CUCA3628,Marvin Windows and Doors,Clad Ultimate Casement Tripane,36,28,No,DP50,3628 CSMT,CUCA3628
CUCA3632,Marvin Windows and Doors,Clad Ultimate Casement Tripane,36,32,No,DP50,3632 CSMT,CUCA3632
CUCA3636,Marvin Windows and Doors,Clad Ultimate Casement Tripane,36,36,Yes,DP50,3636 CSMT,CUCA3636
CUCA3640,Marvin Windows and Doors,Clad Ultimate Casement Tripane,36,40,Yes,DP50,3640 CSMT,CUCA3640
CUCA3644,Marvin Windows and Doors,Clad Ultimate Casement Tripane,36,44,Yes,DP50,3644 CSMT,CUCA3644
CUCA3648,Marvin Windows and Doors,Clad Ultimate Casement Tripane,36,48,Yes,DP50,3648 CSMT,CUCA3648
CUCA3654,Marvin Windows and Doors,Clad Ultimate Casement Tripane,36,54,Yes,DP50,3654 CSMT,CUCA3654
CUCA3656,Marvin Windows and Doors,Clad Ultimate Casement Tripane,36,56,Yes,DP50,3656 CSMT,CUCA3656
CUCA3660,Marvin Windows and Doors,Clad Ultimate Casement Tripane,36,60,Yes,DP50,3660 CSMT,CUCA3660
CUCA3664,Marvin Windows and Doors,Clad Ultimate Casement Tripane,36,64,Yes,DP50,3664 CSMT,CUCA3664
CUCA3672,Marvin Windows and Doors,Clad Ultimate Casement Tripane,36,72,Yes,DP50,3672 CSMT,CUCA3672
CUCA3678,Marvin Windows and Doors,Clad Ultimate Casement Tripane,36,78,Yes,DP50,3678 CSMT,CUCA3678
CUCA3684,Marvin Windows and Doors,Clad Ultimate Casement Tripane,36,84,Yes,DP50,3684 CSMT,CUCA3684
CUCA3692,Marvin Windows and Doors,Clad Ultimate Casement Tripane,36,92,Yes,DP50,3692 CSMT,CUCA3692
CUCA3696,Marvin Windows and Doors,Clad Ultimate Casement Tripane,36,96,Yes,DP50,3696 CSMT,CUCA3696
CUCA4014,Marvin Windows and Doors,Clad Ultimate Casement Tripane,40,14,No,DP50,4014 CSMT,CUCA4014
CUCA4016,Marvin Windows and Doors,Clad Ultimate Casement Tripane,40,16,No,DP50,4016 CSMT,CUCA4016
CUCA4018,Marvin Windows and Doors,Clad Ultimate Casement Tripane,40,18,No,DP50,4018 CSMT,CUCA4018
CUCA4020,Marvin Windows and Doors,Clad Ultimate Casement Tripane,40,20,No,DP50,4020 CSMT,CUCA4020
CUCA4024,Marvin Windows and Doors,Clad Ultimate Casement Tripane,40,24,No,DP50,4024 CSMT,CUCA4024
CUCA4028,Marvin Windows and Doors,Clad Ultimate Casement Tripane,40,28,No,DP50,4028 CSMT,CUCA4028
CUCA4032,Marvin Windows and Doors,Clad Ultimate Casement Tripane,40,32,Yes,DP50,4032 CSMT,CUCA4032
CUCA4036,Marvin Windows and Doors,Clad Ultimate Casement Tripane,40,36,Yes,DP50,4036 CSMT,CUCA4036
CUCA4040,Marvin Windows and Doors,Clad Ultimate Casement Tripane,40,40,Yes,DP50,4040 CSMT,CUCA4040
CUCA4044,Marvin Windows and Doors,Clad Ultimate Casement Tripane,40,44,Yes,DP50,4044 CSMT,CUCA4044
CUCA4048,Marvin Windows and Doors,Clad Ultimate Casement Tripane,40,48,Yes,DP50,4048 CSMT,CUCA4048
CUCA4054,Marvin Windows and Doors,Clad Ultimate Casement Tripane,40,54,Yes,DP50,4054 CSMT,CUCA4054
CUCA4056,Marvin Windows and Doors,Clad Ultimate Casement Tripane,40,56,Yes,DP50,4056 CSMT,CUCA4056
CUCA4060,Marvin Windows and Doors,Clad Ultimate Casement Tripane,40,60,Yes,DP50,4060 CSMT,CUCA4060
CUCA4064,Marvin Windows and Doors,Clad Ultimate Casement Tripane,40,64,Yes,DP50,4064 CSMT,CUCA4064
CUCA4072,Marvin Windows and Doors,Clad Ultimate Casement Tripane,40,72,Yes,DP50,4072 CSMT,CUCA4072
CUCA4078,Marvin Windows and Doors,Clad Ultimate Casement Tripane,40,78,Yes,DP50,4078 CSMT,CUCA4078
CUCA4084,Marvin Windows and Doors,Clad Ultimate Casement Tripane,40,84,Yes,DP50,4084 CSMT,CUCA4084
CUCA4092,Marvin Windows and Doors,Clad Ultimate Casement Tripane,40,92,Yes,DP50,4092 CSMT,CUCA4092
