,Manufacturer##other##,Door Type##other##,Number of Panels##other##,Nominal Width##length##inches,Nominal Height##length##inches,Design Pressure##other##,Description##other##,Model##other##,Option Choice_Configuration##other##
CMOBFD38690-11P,Marvin Windows and Doors,Clad Ultimate Outswing Bi-Fold Door,11,462,108,Not Rated,396108 BFLD DOOR,CMOBFD38690,36
CMOBFD386100-11P,Marvin Windows and Doors,Clad Ultimate Outswing Bi-Fold Door,11,462,120,Not Rated,396120 BFLD DOOR,CMOBFD386100,36

CMOBFD30068-12P,Marvin Windows and Doors,Clad Ultimate Outswing Bi-Fold Door,12,360,80,Not Rated,36080 BFLD DOOR,CMOBFD30068,39
CMOBFD30070-12P,Marvin Windows and Doors,Clad Ultimate Outswing Bi-Fold Door,12,360,84,Not Rated,36084 BFLD DOOR,CMOBFD30070,39
CMOBFD30080-12P,Marvin Windows and Doors,Clad Ultimate Outswing Bi-Fold Door,12,360,96,Not Rated,36096 BFLD DOOR,CMOBFD30080,39
CMOBFD30090-12P,Marvin Windows and Doors,Clad Ultimate Outswing Bi-Fold Door,12,360,108,Not Rated,360108 BFLD DOOR,CMOBFD30090,39
CMOBFD300100-12P,Marvin Windows and Doors,Clad Ultimate Outswing Bi-Fold Door,12,360,120,Not Rated,360120 BFLD DOOR,CMOBFD300100,39

CMOBFD36068-12P,Marvin Windows and Doors,Clad Ultimate Outswing Bi-Fold Door,12,432,80,Not Rated,43280 BFLD DOOR,CMOBFD36068,39
CMOBFD36070-12P,Marvin Windows and Doors,Clad Ultimate Outswing Bi-Fold Door,12,432,84,Not Rated,43284 BFLD DOOR,CMOBFD36070,39
CMOBFD36080-12P,Marvin Windows and Doors,Clad Ultimate Outswing Bi-Fold Door,12,432,96,Not Rated,43296 BFLD DOOR,CMOBFD36080,39
CMOBFD36090-12P,Marvin Windows and Doors,Clad Ultimate Outswing Bi-Fold Door,12,432,108,Not Rated,432108 BFLD DOOR,CMOBFD36090,39
CMOBFD360100-12P,Marvin Windows and Doors,Clad Ultimate Outswing Bi-Fold Door,12,432,120,Not Rated,432120 BFLD DOOR,CMOBFD360100,39

CMOBFD42068-12P,Marvin Windows and Doors,Clad Ultimate Outswing Bi-Fold Door,12,504,80,Not Rated,50480 BFLD DOOR,CMOBFD42068,39
CMOBFD42070-12P,Marvin Windows and Doors,Clad Ultimate Outswing Bi-Fold Door,12,504,84,Not Rated,50484 BFLD DOOR,CMOBFD42070,39
CMOBFD42080-12P,Marvin Windows and Doors,Clad Ultimate Outswing Bi-Fold Door,12,504,96,Not Rated,50496 BFLD DOOR,CMOBFD42080,39
CMOBFD42090-12P,Marvin Windows and Doors,Clad Ultimate Outswing Bi-Fold Door,12,504,108,Not Rated,504108 BFLD DOOR,CMOBFD42090,39
CMOBFD420100-12P,Marvin Windows and Doors,Clad Ultimate Outswing Bi-Fold Door,12,504,120,Not Rated,504120 BFLD DOOR,CMOBFD420100,39

CMOBFD32668-13P,Marvin Windows and Doors,Clad Ultimate Outswing Bi-Fold Door,13,390,80,Not Rated,39080 BFLD DOOR,CMOBFD32668,41
CMOBFD32670-13P,Marvin Windows and Doors,Clad Ultimate Outswing Bi-Fold Door,13,390,84,Not Rated,39084 BFLD DOOR,CMOBFD32670,41
CMOBFD32680-13P,Marvin Windows and Doors,Clad Ultimate Outswing Bi-Fold Door,13,390,96,Not Rated,39096 BFLD DOOR,CMOBFD32680,41
CMOBFD32690-13P,Marvin Windows and Doors,Clad Ultimate Outswing Bi-Fold Door,13,390,108,Not Rated,390108 BFLD DOOR,CMOBFD32690,41
CMOBFD326100-13P,Marvin Windows and Doors,Clad Ultimate Outswing Bi-Fold Door,13,390,120,Not Rated,390120 BFLD DOOR,CMOBFD326100,41

CMOBFD39068-13P,Marvin Windows and Doors,Clad Ultimate Outswing Bi-Fold Door,13,468,80,Not Rated,46880 BFLD DOOR,CMOBFD39068,41
CMOBFD39070-13P,Marvin Windows and Doors,Clad Ultimate Outswing Bi-Fold Door,13,468,84,Not Rated,46884 BFLD DOOR,CMOBFD39070,41
CMOBFD39080-13P,Marvin Windows and Doors,Clad Ultimate Outswing Bi-Fold Door,13,468,96,Not Rated,46896 BFLD DOOR,CMOBFD39080,41
CMOBFD39090-13P,Marvin Windows and Doors,Clad Ultimate Outswing Bi-Fold Door,13,468,108,Not Rated,468108 BFLD DOOR,CMOBFD39090,41
CMOBFD390100-13P,Marvin Windows and Doors,Clad Ultimate Outswing Bi-Fold Door,13,468,120,Not Rated,468120 BFLD DOOR,CMOBFD390100,41

CMOBFD45668-13P,Marvin Windows and Doors,Clad Ultimate Outswing Bi-Fold Door,13,546,80,Not Rated,54680 BFLD DOOR,CMOBFD45668,41
CMOBFD45670-13P,Marvin Windows and Doors,Clad Ultimate Outswing Bi-Fold Door,13,546,84,Not Rated,54684 BFLD DOOR,CMOBFD45670,41
CMOBFD45680-13P,Marvin Windows and Doors,Clad Ultimate Outswing Bi-Fold Door,13,546,96,Not Rated,54696 BFLD DOOR,CMOBFD45680,41
CMOBFD45690-13P,Marvin Windows and Doors,Clad Ultimate Outswing Bi-Fold Door,13,546,108,Not Rated,546108 BFLD DOOR,CMOBFD45690,41
CMOBFD456100-13P,Marvin Windows and Doors,Clad Ultimate Outswing Bi-Fold Door,13,546,120,Not Rated,546120 BFLD DOOR,CMOBFD456100,41

CMOBFD35068-14P,Marvin Windows and Doors,Clad Ultimate Outswing Bi-Fold Door,14,420,80,Not Rated,42080 BFLD DOOR,CMOBFD35068,43
CMOBFD35070-14P,Marvin Windows and Doors,Clad Ultimate Outswing Bi-Fold Door,14,420,84,Not Rated,42084 BFLD DOOR,CMOBFD35070,43
CMOBFD35080-14P,Marvin Windows and Doors,Clad Ultimate Outswing Bi-Fold Door,14,420,96,Not Rated,42096 BFLD DOOR,CMOBFD35080,43
CMOBFD35090-14P,Marvin Windows and Doors,Clad Ultimate Outswing Bi-Fold Door,14,420,108,Not Rated,420108 BFLD DOOR,CMOBFD35090,43
CMOBFD350100-14P,Marvin Windows and Doors,Clad Ultimate Outswing Bi-Fold Door,14,420,120,Not Rated,420120 BFLD DOOR,CMOBFD350100,43

CMOBFD42068-14P,Marvin Windows and Doors,Clad Ultimate Outswing Bi-Fold Door,14,504,80,Not Rated,50480 BFLD DOOR,CMOBFD42068,43
CMOBFD42070-14P,Marvin Windows and Doors,Clad Ultimate Outswing Bi-Fold Door,14,504,84,Not Rated,50484 BFLD DOOR,CMOBFD42070,43
CMOBFD42080-14P,Marvin Windows and Doors,Clad Ultimate Outswing Bi-Fold Door,14,504,96,Not Rated,50496 BFLD DOOR,CMOBFD42080,43
CMOBFD42090-14P,Marvin Windows and Doors,Clad Ultimate Outswing Bi-Fold Door,14,504,108,Not Rated,504108 BFLD DOOR,CMOBFD42090,43
CMOBFD420100-14P,Marvin Windows and Doors,Clad Ultimate Outswing Bi-Fold Door,14,504,120,Not Rated,504120 BFLD DOOR,CMOBFD420100,43

CMOBFD49068-14P,Marvin Windows and Doors,Clad Ultimate Outswing Bi-Fold Door,14,588,80,Not Rated,58880 BFLD DOOR,CMOBFD49068,43
CMOBFD49070-14P,Marvin Windows and Doors,Clad Ultimate Outswing Bi-Fold Door,14,588,84,Not Rated,58884 BFLD DOOR,CMOBFD49070,43
CMOBFD49080-14P,Marvin Windows and Doors,Clad Ultimate Outswing Bi-Fold Door,14,588,96,Not Rated,58896 BFLD DOOR,CMOBFD49080,43
CMOBFD49090-14P,Marvin Windows and Doors,Clad Ultimate Outswing Bi-Fold Door,14,588,108,Not Rated,588108 BFLD DOOR,CMOBFD49090,43
CMOBFD490100-14P,Marvin Windows and Doors,Clad Ultimate Outswing Bi-Fold Door,14,588,120,Not Rated,588120 BFLD DOOR,CMOBFD490100,43

CMOBFD37668-15P,Marvin Windows and Doors,Clad Ultimate Outswing Bi-Fold Door,15,450,80,Not Rated,45080 BFLD DOOR,CMOBFD37668,44
CMOBFD37670-15P,Marvin Windows and Doors,Clad Ultimate Outswing Bi-Fold Door,15,450,84,Not Rated,45084 BFLD DOOR,CMOBFD37670,44
CMOBFD37680-15P,Marvin Windows and Doors,Clad Ultimate Outswing Bi-Fold Door,15,450,96,Not Rated,45096 BFLD DOOR,CMOBFD37680,44
CMOBFD37690-15P,Marvin Windows and Doors,Clad Ultimate Outswing Bi-Fold Door,15,450,108,Not Rated,450108 BFLD DOOR,CMOBFD37690,44
CMOBFD376100-15P,Marvin Windows and Doors,Clad Ultimate Outswing Bi-Fold Door,15,450,120,Not Rated,450120 BFLD DOOR,CMOBFD376100,44

CMOBFD45068-15P,Marvin Windows and Doors,Clad Ultimate Outswing Bi-Fold Door,15,540,80,Not Rated,54080 BFLD DOOR,CMOBFD45068,44
CMOBFD45070-15P,Marvin Windows and Doors,Clad Ultimate Outswing Bi-Fold Door,15,540,84,Not Rated,54084 BFLD DOOR,CMOBFD45070,44
CMOBFD45080-15P,Marvin Windows and Doors,Clad Ultimate Outswing Bi-Fold Door,15,540,96,Not Rated,54096 BFLD DOOR,CMOBFD45080,44
CMOBFD45090-15P,Marvin Windows and Doors,Clad Ultimate Outswing Bi-Fold Door,15,540,108,Not Rated,540108 BFLD DOOR,CMOBFD45090,44
CMOBFD450100-15P,Marvin Windows and Doors,Clad Ultimate Outswing Bi-Fold Door,15,540,120,Not Rated,540120 BFLD DOOR,CMOBFD450100,44

CMOBFD52668-15P,Marvin Windows and Doors,Clad Ultimate Outswing Bi-Fold Door,15,630,80,Not Rated,63080 BFLD DOOR,CMOBFD52668,44
CMOBFD52670-15P,Marvin Windows and Doors,Clad Ultimate Outswing Bi-Fold Door,15,630,84,Not Rated,63084 BFLD DOOR,CMOBFD52670,44
CMOBFD52680-15P,Marvin Windows and Doors,Clad Ultimate Outswing Bi-Fold Door,15,630,96,Not Rated,63096 BFLD DOOR,CMOBFD52680,44
CMOBFD52690-15P,Marvin Windows and Doors,Clad Ultimate Outswing Bi-Fold Door,15,630,108,Not Rated,630108 BFLD DOOR,CMOBFD52690,44
CMOBFD526100-15P,Marvin Windows and Doors,Clad Ultimate Outswing Bi-Fold Door,15,630,120,Not Rated,630120 BFLD DOOR,CMOBFD526100,44

CMOBFD40068-16P,Marvin Windows and Doors,Clad Ultimate Outswing Bi-Fold Door,16,480,80,Not Rated,48080 BFLD DOOR,CMOBFD40068,45
CMOBFD40070-16P,Marvin Windows and Doors,Clad Ultimate Outswing Bi-Fold Door,16,480,84,Not Rated,48084 BFLD DOOR,CMOBFD40070,45
CMOBFD40080-16P,Marvin Windows and Doors,Clad Ultimate Outswing Bi-Fold Door,16,480,96,Not Rated,48096 BFLD DOOR,CMOBFD40080,45
CMOBFD40090-16P,Marvin Windows and Doors,Clad Ultimate Outswing Bi-Fold Door,16,480,108,Not Rated,480108 BFLD DOOR,CMOBFD40090,45
CMOBFD400100-16P,Marvin Windows and Doors,Clad Ultimate Outswing Bi-Fold Door,16,480,120,Not Rated,480120 BFLD DOOR,CMOBFD400100,45

CMOBFD48068-16P,Marvin Windows and Doors,Clad Ultimate Outswing Bi-Fold Door,16,576,80,Not Rated,57680 BFLD DOOR,CMOBFD48068,45
CMOBFD48070-16P,Marvin Windows and Doors,Clad Ultimate Outswing Bi-Fold Door,16,576,84,Not Rated,57684 BFLD DOOR,CMOBFD48070,45
CMOBFD48080-16P,Marvin Windows and Doors,Clad Ultimate Outswing Bi-Fold Door,16,576,96,Not Rated,57696 BFLD DOOR,CMOBFD48080,45
CMOBFD48090-16P,Marvin Windows and Doors,Clad Ultimate Outswing Bi-Fold Door,16,576,108,Not Rated,576108 BFLD DOOR,CMOBFD48090,45
CMOBFD480100-16P,Marvin Windows and Doors,Clad Ultimate Outswing Bi-Fold Door,16,576,120,Not Rated,576120 BFLD DOOR,CMOBFD480100,45

CMOBFD56068-16P,Marvin Windows and Doors,Clad Ultimate Outswing Bi-Fold Door,16,672,80,Not Rated,67280 BFLD DOOR,CMOBFD56068,45
CMOBFD56070-16P,Marvin Windows and Doors,Clad Ultimate Outswing Bi-Fold Door,16,672,84,Not Rated,67284 BFLD DOOR,CMOBFD56070,45
CMOBFD56080-16P,Marvin Windows and Doors,Clad Ultimate Outswing Bi-Fold Door,16,672,96,Not Rated,67296 BFLD DOOR,CMOBFD56080,45
CMOBFD56090-16P,Marvin Windows and Doors,Clad Ultimate Outswing Bi-Fold Door,16,672,108,Not Rated,672108 BFLD DOOR,CMOBFD56090,45
CMOBFD560100-16P,Marvin Windows and Doors,Clad Ultimate Outswing Bi-Fold Door,16,672,120,Not Rated,672120 BFLD DOOR,CMOBFD560100,45

















