,Manufacturer##other##,Door Type##other##,Number of Panels##other##,Nominal Width##length##inches,Nominal Height##length##inches,Design Pressure##other##,Description##other##,Model##other##,Option Choice_Configuration##other##
CMOBFD90100-3P,Marvin Windows and Doors,Clad Ultimate Outswing Bi-Fold Door,3,108,120,DP40,108120 BFLD DOOR,CMOBFD90100,5

CMOBFD10668-3P,Marvin Windows and Doors,Clad Ultimate Outswing Bi-Fold Door,3,126,80,DP50,12680 BFLD DOOR,CMOBFD10668,5
CMOBFD10670-3P,Marvin Windows and Doors,Clad Ultimate Outswing Bi-Fold Door,3,126,84,DP50,12684 BFLD DOOR,CMOBFD10670,5
CMOBFD10680-3P,Marvin Windows and Doors,Clad Ultimate Outswing Bi-Fold Door,3,126,96,DP50,12696 BFLD DOOR,CMOBFD10680,5
CMOBFD10690-3P,Marvin Windows and Doors,Clad Ultimate Outswing Bi-Fold Door,3,126,108,DP40,126108 BFLD DOOR,CMOBFD10690,5
CMOBFD106100-3P,Marvin Windows and Doors,Clad Ultimate Outswing Bi-Fold Door,3,126,120,DP40,126120 BFLD DOOR,CMOBFD106100,5

CMOBFD10068-4P,Marvin Windows and Doors,Clad Ultimate Outswing Bi-Fold Door,4,120,80,DP50,12080 BFLD DOOR,CMOBFD10068,8
CMOBFD10070-4P,Marvin Windows and Doors,Clad Ultimate Outswing Bi-Fold Door,4,120,84,DP50,12084 BFLD DOOR,CMOBFD10070,8
CMOBFD10080-4P,Marvin Windows and Doors,Clad Ultimate Outswing Bi-Fold Door,4,120,96,DP50,12096 BFLD DOOR,CMOBFD10080,8
CMOBFD10090-4P,Marvin Windows and Doors,Clad Ultimate Outswing Bi-Fold Door,4,120,108,DP40,120108 BFLD DOOR,CMOBFD10090,8
CMOBFD100100-4P,Marvin Windows and Doors,Clad Ultimate Outswing Bi-Fold Door,4,120,120,DP40,120120 BFLD DOOR,CMOBFD100100,8

CMOBFD12068-4P,Marvin Windows and Doors,Clad Ultimate Outswing Bi-Fold Door,4,144,80,DP50,14480 BFLD DOOR,CMOBFD12068,8
CMOBFD12070-4P,Marvin Windows and Doors,Clad Ultimate Outswing Bi-Fold Door,4,144,84,DP50,14484 BFLD DOOR,CMOBFD12070,8
CMOBFD12080-4P,Marvin Windows and Doors,Clad Ultimate Outswing Bi-Fold Door,4,144,96,DP50,14496 BFLD DOOR,CMOBFD12080,8
CMOBFD12090-4P,Marvin Windows and Doors,Clad Ultimate Outswing Bi-Fold Door,4,144,108,DP40,144108 BFLD DOOR,CMOBFD12090,8
CMOBFD120100-4P,Marvin Windows and Doors,Clad Ultimate Outswing Bi-Fold Door,4,144,120,DP40,144120 BFLD DOOR,CMOBFD120100,8

CMOBFD14068-4P,Marvin Windows and Doors,Clad Ultimate Outswing Bi-Fold Door,4,168,80,DP50,16880 BFLD DOOR,CMOBFD14068,8
CMOBFD14070-4P,Marvin Windows and Doors,Clad Ultimate Outswing Bi-Fold Door,4,168,84,DP50,16884 BFLD DOOR,CMOBFD14070,8
CMOBFD14080-4P,Marvin Windows and Doors,Clad Ultimate Outswing Bi-Fold Door,4,168,96,DP50,16896 BFLD DOOR,CMOBFD14080,8
CMOBFD14090-4P,Marvin Windows and Doors,Clad Ultimate Outswing Bi-Fold Door,4,168,108,DP40,168108 BFLD DOOR,CMOBFD14090,8
CMOBFD140100-4P,Marvin Windows and Doors,Clad Ultimate Outswing Bi-Fold Door,4,168,120,DP40,168120 BFLD DOOR,CMOBFD140100,8

CMOBFD12668-5P,Marvin Windows and Doors,Clad Ultimate Outswing Bi-Fold Door,5,150,80,DP50,15080 BFLD DOOR,CMOBFD12668,11
CMOBFD12670-5P,Marvin Windows and Doors,Clad Ultimate Outswing Bi-Fold Door,5,150,84,DP50,15084 BFLD DOOR,CMOBFD12670,11
CMOBFD12680-5P,Marvin Windows and Doors,Clad Ultimate Outswing Bi-Fold Door,5,150,96,DP50,15096 BFLD DOOR,CMOBFD12680,11
CMOBFD12690-5P,Marvin Windows and Doors,Clad Ultimate Outswing Bi-Fold Door,5,150,108,DP40,150108 BFLD DOOR,CMOBFD12690,11
CMOBFD126100-5P,Marvin Windows and Doors,Clad Ultimate Outswing Bi-Fold Door,5,150,120,DP40,150120 BFLD DOOR,CMOBFD126100,11

CMOBFD15068-5P,Marvin Windows and Doors,Clad Ultimate Outswing Bi-Fold Door,5,180,80,DP50,18080 BFLD DOOR,CMOBFD15068,11
CMOBFD15070-5P,Marvin Windows and Doors,Clad Ultimate Outswing Bi-Fold Door,5,180,84,DP50,18084 BFLD DOOR,CMOBFD15070,11
CMOBFD15080-5P,Marvin Windows and Doors,Clad Ultimate Outswing Bi-Fold Door,5,180,96,DP50,18096 BFLD DOOR,CMOBFD15080,11
CMOBFD15090-5P,Marvin Windows and Doors,Clad Ultimate Outswing Bi-Fold Door,5,180,108,DP40,180108 BFLD DOOR,CMOBFD15090,11
CMOBFD150100-5P,Marvin Windows and Doors,Clad Ultimate Outswing Bi-Fold Door,5,180,120,DP40,180120 BFLD DOOR,CMOBFD150100,11

CMOBFD17668-5P,Marvin Windows and Doors,Clad Ultimate Outswing Bi-Fold Door,5,210,80,DP50,21080 BFLD DOOR,CMOBFD17668,11
CMOBFD17670-5P,Marvin Windows and Doors,Clad Ultimate Outswing Bi-Fold Door,5,210,84,DP50,21084 BFLD DOOR,CMOBFD17670,11
CMOBFD17680-5P,Marvin Windows and Doors,Clad Ultimate Outswing Bi-Fold Door,5,210,96,DP50,21096 BFLD DOOR,CMOBFD17680,11
CMOBFD17690-5P,Marvin Windows and Doors,Clad Ultimate Outswing Bi-Fold Door,5,210,108,DP40,210108 BFLD DOOR,CMOBFD17690,11
CMOBFD176100-5P,Marvin Windows and Doors,Clad Ultimate Outswing Bi-Fold Door,5,210,120,DP40,210120 BFLD DOOR,CMOBFD176100,11

CMOBFD15068-6P,Marvin Windows and Doors,Clad Ultimate Outswing Bi-Fold Door,6,180,80,DP50,18080 BFLD DOOR,CMOBFD15068,15
CMOBFD15070-6P,Marvin Windows and Doors,Clad Ultimate Outswing Bi-Fold Door,6,180,84,DP50,18084 BFLD DOOR,CMOBFD15070,15
CMOBFD15080-6P,Marvin Windows and Doors,Clad Ultimate Outswing Bi-Fold Door,6,180,96,DP50,18096 BFLD DOOR,CMOBFD15080,15
CMOBFD15090-6P,Marvin Windows and Doors,Clad Ultimate Outswing Bi-Fold Door,6,180,108,DP40,180108 BFLD DOOR,CMOBFD15090,15
CMOBFD150100-6P,Marvin Windows and Doors,Clad Ultimate Outswing Bi-Fold Door,6,180,120,DP40,180120 BFLD DOOR,CMOBFD150100,15

