,Manufacturer##other##,Door Type##other##,Number of Panels##other##,Nominal Width##length##inches,Nominal Height##length##inches,Design Pressure##other##,Description##other##,Model##other##
CULSP12070_PXXXX/XXXXP,Marvin Windows and Doors,Clad Ultimate Lift and Slide Pocket Door,4,144,84,DP30,12070 LSP DOOR,CULSP12070_PXXXX/XXXXP
CULSP16070_PXXXX/XXXXP,Marvin Windows and Doors,Clad Ultimate Lift and Slide Pocket Door,4,192,84,DP30,16070 LSP DOOR,CULSP16070_PXXXX/XXXXP
CULSP20070_PXXXX/XXXXP,Marvin Windows and Doors,Clad Ultimate Lift and Slide Pocket Door,4,240,84,DP30,20070 LSP DOOR,CULSP20070_PXXXX/XXXXP
CULSP24070_PXXXX/XXXXP,Marvin Windows and Doors,Clad Ultimate Lift and Slide Pocket Door,4,288,84,DP30,24070 LSP DOOR,CULSP24070_PXXXX/XXXXP


CULSP12080_PXXXX/XXXXP,Marvin Windows and Doors,Clad Ultimate Lift and Slide Pocket Door,4,144,96,DP30,12080 LSP DOOR,CULSP12080_PXXXX/XXXXP
CULSP16080_PXXXX/XXXXP,Marvin Windows and Doors,Clad Ultimate Lift and Slide Pocket Door,4,192,96,DP30,16080 LSP DOOR,CULSP16080_PXXXX/XXXXP
CULSP20080_PXXXX/XXXXP,Marvin Windows and Doors,Clad Ultimate Lift and Slide Pocket Door,4,240,96,DP30,20080 LSP DOOR,CULSP20080_PXXXX/XXXXP
CULSP24080_PXXXX/XXXXP,Marvin Windows and Doors,Clad Ultimate Lift and Slide Pocket Door,4,288,96,DP30,24080 LSP DOOR,CULSP24080_PXXXX/XXXXP



CULSP120100_PXXXX/XXXXP,Marvin Windows and Doors,Clad Ultimate Lift and Slide Pocket Door,4,144,120,DP30,120100 LSP DOOR,CULSP120100_PXXXX/XXXXP
CULSP160100_PXXXX/XXXXP,Marvin Windows and Doors,Clad Ultimate Lift and Slide Pocket Door,4,192,120,DP30,160100 LSP DOOR,CULSP160100_PXXXX/XXXXP
CULSP200100_PXXXX/XXXXP,Marvin Windows and Doors,Clad Ultimate Lift and Slide Pocket Door,4,240,120,DP30,200100 LSP DOOR,CULSP200100_PXXXX/XXXXP
CULSP240100_PXXXX/XXXXP,Marvin Windows and Doors,Clad Ultimate Lift and Slide Pocket Door,4,288,120,DP30,240100 LSP DOOR,CULSP240100_PXXXX/XXXXP


