,Manufacturer##other##,Door Type##other##,Number of Panels##other##,Nominal Width##length##inches,Nominal Height##length##inches,Design Pressure##other##,Description##other##,Model##other##
CULSP360100_PXXX-XXXP,Marvin Windows and Doors,Clad Ultimate Lift and Slide Pocket Door,6,432,120,Not Rated,360100 LSP DOOR,CULSP360100_PXXX-XXXP


CULSP24070_PXXXX-XXXXP,Marvin Windows and Doors,Clad Ultimate Lift and Slide Pocket Door,8,288,84,Not Rated,24070 LSP DOOR,CULSP24070_PXXXX-XXXXP
CULSP32070_PXXXX-XXXXP,Marvin Windows and Doors,Clad Ultimate Lift and Slide Pocket Door,8,384,84,Not Rated,32070 LSP DOOR,CULSP32070_PXXXX-XXXXP
CULSP40070_PXXXX-XXXXP,Marvin Windows and Doors,Clad Ultimate Lift and Slide Pocket Door,8,480,84,Not Rated,40070 LSP DOOR,CULSP40070_PXXXX-XXXXP
CULSP48070_PXXXX-XXXXP,Marvin Windows and Doors,Clad Ultimate Lift and Slide Pocket Door,8,576,84,Not Rated,48070 LSP DOOR,CULSP48070_PXXXX-XXXXP


CULSP24080_PXXXX-XXXXP,Marvin Windows and Doors,Clad Ultimate Lift and Slide Pocket Door,8,288,96,Not Rated,24080 LSP DOOR,CULSP24080_PXXXX-XXXXP
CULSP32080_PXXXX-XXXXP,Marvin Windows and Doors,Clad Ultimate Lift and Slide Pocket Door,8,384,96,Not Rated,32080 LSP DOOR,CULSP32080_PXXXX-XXXXP
CULSP40080_PXXXX-XXXXP,Marvin Windows and Doors,Clad Ultimate Lift and Slide Pocket Door,8,480,96,Not Rated,40080 LSP DOOR,CULSP40080_PXXXX-XXXXP
CULSP48080_PXXXX-XXXXP,Marvin Windows and Doors,Clad Ultimate Lift and Slide Pocket Door,8,576,96,Not Rated,48080 LSP DOOR,CULSP48080_PXXXX-XXXXP


CULSP240100_PXXXX-XXXXP,Marvin Windows and Doors,Clad Ultimate Lift and Slide Pocket Door,8,288,120,Not Rated,240100 LSP DOOR,CULSP240100_PXXXX-XXXXP
CULSP320100_PXXXX-XXXXP,Marvin Windows and Doors,Clad Ultimate Lift and Slide Pocket Door,8,384,120,Not Rated,320100 LSP DOOR,CULSP320100_PXXXX-XXXXP
CULSP400100_PXXXX-XXXXP,Marvin Windows and Doors,Clad Ultimate Lift and Slide Pocket Door,8,480,120,Not Rated,400100 LSP DOOR,CULSP400100_PXXXX-XXXXP
CULSP480100_PXXXX-XXXXP,Marvin Windows and Doors,Clad Ultimate Lift and Slide Pocket Door,8,576,120,Not Rated,480100 LSP DOOR,CULSP480100_PXXXX-XXXXP

