,Manufacturer##other##,Door Type##other##,Number of Panels##other##,Nominal Width##length##inches,Nominal Height##length##inches,Description##other##,Model##other##
CMMSDP200120_PXX-XXP,Marvin Windows and Doors,Clad Ultimate Multi-Slide Pocket Door,4,240,144,200120 MS DOOR,CMMSDP200120_PXX-XXP
CMMSDP240120_PXX-XXP,Marvin Windows and Doors,Clad Ultimate Multi-Slide Pocket Door,4,288,144,240120 MS DOOR,CMMSDP240120_PXX-XXP
CMMSDP18070_PXXX-XXXP,Marvin Windows and Doors,Clad Ultimate Multi-Slide Pocket Door,6,216,84,18070 MS DOOR,CMMSDP18070_PXXX-XXXP
CMMSDP24070_PXXX-XXXP,Marvin Windows and Doors,Clad Ultimate Multi-Slide Pocket Door,6,288,84,24070 MS DOOR,CMMSDP24070_PXXX-XXXP
CMMSDP30070_PXXX-XXXP,Marvin Windows and Doors,Clad Ultimate Multi-Slide Pocket Door,6,360,84,30070 MS DOOR,CMMSDP30070_PXXX-XXXP
CMMSDP36070_PXXX-XXXP,Marvin Windows and Doors,Clad Ultimate Multi-Slide Pocket Door,6,432,84,36070 MS DOOR,CMMSDP36070_PXXX-XXXP
CMMSDP18080_PXXX-XXXP,Marvin Windows and Doors,Clad Ultimate Multi-Slide Pocket Door,6,216,96,18080 MS DOOR,CMMSDP18080_PXXX-XXXP
CMMSDP24080_PXXX-XXXP,Marvin Windows and Doors,Clad Ultimate Multi-Slide Pocket Door,6,288,96,24080 MS DOOR,CMMSDP24080_PXXX-XXXP
CMMSDP30080_PXXX-XXXP,Marvin Windows and Doors,Clad Ultimate Multi-Slide Pocket Door,6,360,96,30080 MS DOOR,CMMSDP30080_PXXX-XXXP
CMMSDP36080_PXXX-XXXP,Marvin Windows and Doors,Clad Ultimate Multi-Slide Pocket Door,6,432,96,36080 MS DOOR,CMMSDP36080_PXXX-XXXP
CMMSDP18090_PXXX-XXXP,Marvin Windows and Doors,Clad Ultimate Multi-Slide Pocket Door,6,216,108,18090 MS DOOR,CMMSDP18090_PXXX-XXXP
CMMSDP24090_PXXX-XXXP,Marvin Windows and Doors,Clad Ultimate Multi-Slide Pocket Door,6,288,108,24090 MS DOOR,CMMSDP24090_PXXX-XXXP
CMMSDP30090_PXXX-XXXP,Marvin Windows and Doors,Clad Ultimate Multi-Slide Pocket Door,6,360,108,30090 MS DOOR,CMMSDP30090_PXXX-XXXP
CMMSDP36090_PXXX-XXXP,Marvin Windows and Doors,Clad Ultimate Multi-Slide Pocket Door,6,432,108,36090 MS DOOR,CMMSDP36090_PXXX-XXXP
CMMSDP180100_PXXX-XXXP,Marvin Windows and Doors,Clad Ultimate Multi-Slide Pocket Door,6,216,120,180100 MS DOOR,CMMSDP180100_PXXX-XXXP
CMMSDP240100_PXXX-XXXP,Marvin Windows and Doors,Clad Ultimate Multi-Slide Pocket Door,6,288,120,240100 MS DOOR,CMMSDP240100_PXXX-XXXP
CMMSDP300100_PXXX-XXXP,Marvin Windows and Doors,Clad Ultimate Multi-Slide Pocket Door,6,360,120,300100 MS DOOR,CMMSDP300100_PXXX-XXXP
CMMSDP360100_PXXX-XXXP,Marvin Windows and Doors,Clad Ultimate Multi-Slide Pocket Door,6,432,120,360100 MS DOOR,CMMSDP360100_PXXX-XXXP
CMMSDP180120_PXXX-XXXP,Marvin Windows and Doors,Clad Ultimate Multi-Slide Pocket Door,6,216,144,180120 MS DOOR,CMMSDP180120_PXXX-XXXP
CMMSDP240120_PXXX-XXXP,Marvin Windows and Doors,Clad Ultimate Multi-Slide Pocket Door,6,288,144,240120 MS DOOR,CMMSDP240120_PXXX-XXXP
CMMSDP300120_PXXX-XXXP,Marvin Windows and Doors,Clad Ultimate Multi-Slide Pocket Door,6,360,144,300120 MS DOOR,CMMSDP300120_PXXX-XXXP
CMMSDP360120_PXXX-XXXP,Marvin Windows and Doors,Clad Ultimate Multi-Slide Pocket Door,6,432,144,360120 MS DOOR,CMMSDP360120_PXXX-XXXP
CMMSDP24070_PXXXX-XXXXP,Marvin Windows and Doors,Clad Ultimate Multi-Slide Pocket Door,8,288,84,24070 MS DOOR,CMMSDP24070_PXXXX-XXXXP
CMMSDP32070_PXXXX-XXXXP,Marvin Windows and Doors,Clad Ultimate Multi-Slide Pocket Door,8,384,84,32070 MS DOOR,CMMSDP32070_PXXXX-XXXXP
CMMSDP40070_PXXXX-XXXXP,Marvin Windows and Doors,Clad Ultimate Multi-Slide Pocket Door,8,480,84,40070 MS DOOR,CMMSDP40070_PXXXX-XXXXP
CMMSDP48070_PXXXX-XXXXP,Marvin Windows and Doors,Clad Ultimate Multi-Slide Pocket Door,8,576,84,48070 MS DOOR,CMMSDP48070_PXXXX-XXXXP
CMMSDP24080_PXXXX-XXXXP,Marvin Windows and Doors,Clad Ultimate Multi-Slide Pocket Door,8,288,96,24080 MS DOOR,CMMSDP24080_PXXXX-XXXXP
CMMSDP32080_PXXXX-XXXXP,Marvin Windows and Doors,Clad Ultimate Multi-Slide Pocket Door,8,384,96,32080 MS DOOR,CMMSDP32080_PXXXX-XXXXP
CMMSDP40080_PXXXX-XXXXP,Marvin Windows and Doors,Clad Ultimate Multi-Slide Pocket Door,8,480,96,40080 MS DOOR,CMMSDP40080_PXXXX-XXXXP
