,Manufacturer##other##,Door Type##other##,Number of Panels##other##,Nominal Width##length##inches,Nominal Height##length##inches,Description##other##,Model##other##
CMMSDS150120_OXX/XXO,Marvin Windows and Doors,Clad Ultimate Multi-Slide Stacked Door,3,180,144,150120 MS DOOR,CMMSDS150120_OXX/XXO
CMMSDS180120_OXX/XXO,Marvin Windows and Doors,Clad Ultimate Multi-Slide Stacked Door,3,216,144,180120 MS DOOR,CMMSDS180120_OXX/XXO
CMMSDS12070_OXXX/XXXO,Marvin Windows and Doors,Clad Ultimate Multi-Slide Stacked Door,4,144,84,12070 MS DOOR,CMMSDS12070_OXXX/XXXO
CMMSDS16070_OXXX/XXXO,Marvin Windows and Doors,Clad Ultimate Multi-Slide Stacked Door,4,192,84,16070 MS DOOR,CMMSDS16070_OXXX/XXXO
CMMSDS20070_OXXX/XXXO,Marvin Windows and Doors,Clad Ultimate Multi-Slide Stacked Door,4,240,84,20070 MS DOOR,CMMSDS20070_OXXX/XXXO
CMMSDS24070_OXXX/XXXO,Marvin Windows and Doors,Clad Ultimate Multi-Slide Stacked Door,4,288,84,24070 MS DOOR,CMMSDS24070_OXXX/XXXO
CMMSDS12080_OXXX/XXXO,Marvin Windows and Doors,Clad Ultimate Multi-Slide Stacked Door,4,144,96,12080 MS DOOR,CMMSDS12080_OXXX/XXXO
CMMSDS16080_OXXX/XXXO,Marvin Windows and Doors,Clad Ultimate Multi-Slide Stacked Door,4,192,96,16080 MS DOOR,CMMSDS16080_OXXX/XXXO
CMMSDS20080_OXXX/XXXO,Marvin Windows and Doors,Clad Ultimate Multi-Slide Stacked Door,4,240,96,20080 MS DOOR,CMMSDS20080_OXXX/XXXO
CMMSDS24080_OXXX/XXXO,Marvin Windows and Doors,Clad Ultimate Multi-Slide Stacked Door,4,288,96,24080 MS DOOR,CMMSDS24080_OXXX/XXXO
CMMSDS12090_OXXX/XXXO,Marvin Windows and Doors,Clad Ultimate Multi-Slide Stacked Door,4,144,108,12090 MS DOOR,CMMSDS12090_OXXX/XXXO
CMMSDS16090_OXXX/XXXO,Marvin Windows and Doors,Clad Ultimate Multi-Slide Stacked Door,4,192,108,16090 MS DOOR,CMMSDS16090_OXXX/XXXO
CMMSDS20090_OXXX/XXXO,Marvin Windows and Doors,Clad Ultimate Multi-Slide Stacked Door,4,240,108,20090 MS DOOR,CMMSDS20090_OXXX/XXXO
CMMSDS24090_OXXX/XXXO,Marvin Windows and Doors,Clad Ultimate Multi-Slide Stacked Door,4,288,108,24090 MS DOOR,CMMSDS24090_OXXX/XXXO
CMMSDS120100_OXXX/XXXO,Marvin Windows and Doors,Clad Ultimate Multi-Slide Stacked Door,4,144,120,120100 MS DOOR,CMMSDS120100_OXXX/XXXO
CMMSDS160100_OXXX/XXXO,Marvin Windows and Doors,Clad Ultimate Multi-Slide Stacked Door,4,192,120,160100 MS DOOR,CMMSDS160100_OXXX/XXXO
CMMSDS200100_OXXX/XXXO,Marvin Windows and Doors,Clad Ultimate Multi-Slide Stacked Door,4,240,120,200100 MS DOOR,CMMSDS200100_OXXX/XXXO
CMMSDS240100_OXXX/XXXO,Marvin Windows and Doors,Clad Ultimate Multi-Slide Stacked Door,4,288,120,240100 MS DOOR,CMMSDS240100_OXXX/XXXO
CMMSDS120120_OXXX/XXXO,Marvin Windows and Doors,Clad Ultimate Multi-Slide Stacked Door,4,144,144,120120 MS DOOR,CMMSDS120120_OXXX/XXXO
CMMSDS160120_OXXX/XXXO,Marvin Windows and Doors,Clad Ultimate Multi-Slide Stacked Door,4,192,144,160120 MS DOOR,CMMSDS160120_OXXX/XXXO
CMMSDS200120_OXXX/XXXO,Marvin Windows and Doors,Clad Ultimate Multi-Slide Stacked Door,4,240,144,200120 MS DOOR,CMMSDS200120_OXXX/XXXO
CMMSDS240120_OXXX/XXXO,Marvin Windows and Doors,Clad Ultimate Multi-Slide Stacked Door,4,288,144,240120 MS DOOR,CMMSDS240120_OXXX/XXXO
