,Manufacturer##other##,Door Type##other##,Number of Panels##other##,Nominal Width##length##inches,Nominal Height##length##inches,Description##other##,Model##other##
CMMSDS300120_OXX-XXO,Marvin Windows and Doors,Clad Ultimate Multi-Slide Stacked Door,6,360,144,300120 MS DOOR,CMMSDS300120_OXX-XXO
CMMSDS360120_OXX-XXO,Marvin Windows and Doors,Clad Ultimate Multi-Slide Stacked Door,6,432,144,360120 MS DOOR,CMMSDS360120_OXX-XXO
CMMSDS24070_OXXX-XXXO,Marvin Windows and Doors,Clad Ultimate Multi-Slide Stacked Door,8,288,84,24070 MS DOOR,CMMSDS24070_OXXX-XXXO
CMMSDS32070_OXXX-XXXO,Marvin Windows and Doors,Clad Ultimate Multi-Slide Stacked Door,8,384,84,32070 MS DOOR,CMMSDS32070_OXXX-XXXO
CMMSDS40070_OXXX-XXXO,Marvin Windows and Doors,Clad Ultimate Multi-Slide Stacked Door,8,480,84,40070 MS DOOR,CMMSDS40070_OXXX-XXXO
CMMSDS48070_OXXX-XXXO,Marvin Windows and Doors,Clad Ultimate Multi-Slide Stacked Door,8,576,84,48070 MS DOOR,CMMSDS48070_OXXX-XXXO
CMMSDS24080_OXXX-XXXO,Marvin Windows and Doors,Clad Ultimate Multi-Slide Stacked Door,8,288,96,24080 MS DOOR,CMMSDS24080_OXXX-XXXO
CMMSDS32080_OXXX-XXXO,Marvin Windows and Doors,Clad Ultimate Multi-Slide Stacked Door,8,384,96,32080 MS DOOR,CMMSDS32080_OXXX-XXXO
CMMSDS40080_OXXX-XXXO,Marvin Windows and Doors,Clad Ultimate Multi-Slide Stacked Door,8,480,96,40080 MS DOOR,CMMSDS40080_OXXX-XXXO
CMMSDS48080_OXXX-XXXO,Marvin Windows and Doors,Clad Ultimate Multi-Slide Stacked Door,8,576,96,48080 MS DOOR,CMMSDS48080_OXXX-XXXO
CMMSDS24090_OXXX-XXXO,Marvin Windows and Doors,Clad Ultimate Multi-Slide Stacked Door,8,288,108,24090 MS DOOR,CMMSDS24090_OXXX-XXXO
CMMSDS32090_OXXX-XXXO,Marvin Windows and Doors,Clad Ultimate Multi-Slide Stacked Door,8,384,108,32090 MS DOOR,CMMSDS32090_OXXX-XXXO
CMMSDS40090_OXXX-XXXO,Marvin Windows and Doors,Clad Ultimate Multi-Slide Stacked Door,8,480,108,40090 MS DOOR,CMMSDS40090_OXXX-XXXO
CMMSDS48090_OXXX-XXXO,Marvin Windows and Doors,Clad Ultimate Multi-Slide Stacked Door,8,576,108,48090 MS DOOR,CMMSDS48090_OXXX-XXXO
CMMSDS240100_OXXX-XXXO,Marvin Windows and Doors,Clad Ultimate Multi-Slide Stacked Door,8,288,120,240100 MS DOOR,CMMSDS240100_OXXX-XXXO
CMMSDS320100_OXXX-XXXO,Marvin Windows and Doors,Clad Ultimate Multi-Slide Stacked Door,8,384,120,320100 MS DOOR,CMMSDS320100_OXXX-XXXO
CMMSDS400100_OXXX-XXXO,Marvin Windows and Doors,Clad Ultimate Multi-Slide Stacked Door,8,480,120,400100 MS DOOR,CMMSDS400100_OXXX-XXXO
CMMSDS480100_OXXX-XXXO,Marvin Windows and Doors,Clad Ultimate Multi-Slide Stacked Door,8,576,120,480100 MS DOOR,CMMSDS480100_OXXX-XXXO
