,Width##length##inches,Height##length##inches,Radius##length##inches,Rough Width##length##inches,Rough Height##length##inches,Rough Radius##length##inches,Model##other##
"CDGRT RO 36.25 X 35.875, RAD 44.5625",35.25,35.25,44.0625,36.25,35.875,44.5625,"CDGRT RO 36.25 X 35.875, RAD 44.5625"
"CDGRT RO 36.25 X 40.92188, RAD 55.266",35.25,40.25,54.766,36.25,40.92188,55.266,"CDGRT RO 36.25 X 40.92188, RAD 55.266"
"CDGRT RO 36.25 X 45.984, RAD 67.40625",35.25,45.25,66.90625,36.25,45.984,67.40625,"CDGRT RO 36.25 X 45.984, RAD 67.40625"
"CDGRT RO 38.25 X 37.875, RAD 47.0625",37.25,37.25,46.5625,38.25,37.875,47.0625,"CDGRT RO 38.25 X 37.875, RAD 47.0625"
"CDGRT RO 38.25 X 42.922, RAD 57.734",37.25,42.25,57.234,38.25,42.922,57.734,"CDGRT RO 38.25 X 42.922, RAD 57.734"
"CDGRT RO 38.25 X 47.984, RAD 69.75",37.25,47.25,69.25,38.25,47.984,69.75,"CDGRT RO 38.25 X 47.984, RAD 69.75"
"CDGRT RO 42.25 X 41.875, RAD 52.0625",41.25,41.25,51.5625,42.25,41.875,52.0625,"CDGRT RO 42.25 X 41.875, RAD 52.0625"
"CDGRT RO 42.25 X 46.922, RAD 62.672",41.25,46.25,62.172,42.25,46.922,62.672,"CDGRT RO 42.25 X 46.922, RAD 62.672"
"CDGRT RO 42.25 X 51.96875, RAD 74.484",41.25,51.25,73.984,42.25,51.96875,74.484,"CDGRT RO 42.25 X 51.96875, RAD 74.484"
"CDGRT RO 60.25 X 59.875, RAD 74.5625",59.25,59.25,74.0625,60.25,59.875,74.5625,"CDGRT RO 60.25 X 59.875, RAD 74.5625"
"CDGRT RO 60.25 X 64.90625, RAD 84.98438",59.25,64.25,84.48438,60.25,64.90625,84.98438,"CDGRT RO 60.25 X 64.90625, RAD 84.98438"
"CDGRT RO 60.25 X 69.9375, RAD 96.25",59.25,69.25,95.75,60.25,69.9375,96.25,"CDGRT RO 60.25 X 69.9375, RAD 96.25"
